run:
Avg[n= 100	m= 2	p= 0.05	p*= 0.005	URLIG: 91.96	Gnp*: 74.84	URLIG/Gnp*: 1.23	Gnp: 1.48	URLIG/Gnp: 62.14]
Avg[n= 100	m= 2	p= 0.1	p*= 0.019	URLIG: 81.77	Gnp*: 19.76	URLIG/Gnp*: 4.14	Gnp: 1.0	URLIG/Gnp: 81.77]
Avg[n= 100	m= 2	p= 0.15	p*= 0.041	URLIG: 73.1	Gnp*: 2.6	URLIG/Gnp*: 28.12	Gnp: 1.0	URLIG/Gnp: 73.1]
Avg[n= 100	m= 2	p= 0.2	p*= 0.07	URLIG: 65.53	Gnp*: 1.09	URLIG/Gnp*: 60.12	Gnp: 1.0	URLIG/Gnp: 65.53]
Avg[n= 100	m= 2	p= 0.25	p*= 0.105	URLIG: 57.13	Gnp*: 1.0	URLIG/Gnp*: 57.13	Gnp: 1.0	URLIG/Gnp: 57.13]
Avg[n= 100	m= 2	p= 0.3	p*= 0.147	URLIG: 49.32	Gnp*: 1.0	URLIG/Gnp*: 49.32	Gnp: 1.0	URLIG/Gnp: 49.32]
Avg[n= 100	m= 2	p= 0.35	p*= 0.193	URLIG: 43.46	Gnp*: 1.0	URLIG/Gnp*: 43.46	Gnp: 1.0	URLIG/Gnp: 43.46]
Avg[n= 100	m= 2	p= 0.4	p*= 0.243	URLIG: 36.88	Gnp*: 1.0	URLIG/Gnp*: 36.88	Gnp: 1.0	URLIG/Gnp: 36.88]
Avg[n= 100	m= 2	p= 0.45	p*= 0.297	URLIG: 31.31	Gnp*: 1.0	URLIG/Gnp*: 31.31	Gnp: 1.0	URLIG/Gnp: 31.31]
Avg[n= 100	m= 2	p= 0.5	p*= 0.354	URLIG: 26.29	Gnp*: 1.0	URLIG/Gnp*: 26.29	Gnp: 1.0	URLIG/Gnp: 26.29]
Avg[n= 100	m= 2	p= 0.55	p*= 0.414	URLIG: 20.69	Gnp*: 1.0	URLIG/Gnp*: 20.69	Gnp: 1.0	URLIG/Gnp: 20.69]
Avg[n= 100	m= 2	p= 0.6	p*= 0.475	URLIG: 16.67	Gnp*: 1.0	URLIG/Gnp*: 16.67	Gnp: 1.0	URLIG/Gnp: 16.67]
